CWE ID: 1004, Name: Sensitive Cookie Without 'HttpOnly' Flag, Description: Нет описания
CWE ID: 1007, Name: Insufficient Visual Distinction of Homoglyphs Presented to User, Description: Нет описания
CWE ID: 102, Name: Struts: Duplicate Validation Forms, Description: Нет описания
CWE ID: 1021, Name: Improper Restriction of Rendered UI Layers or Frames, Description: Нет описания
CWE ID: 1022, Name: Use of Web Link to Untrusted Target with window.opener Access, Description: Нет описания
CWE ID: 1023, Name: Incomplete Comparison with Missing Factors, Description: Нет описания
CWE ID: 1024, Name: Comparison of Incompatible Types, Description: Нет описания
CWE ID: 1025, Name: Comparison Using Wrong Factors, Description: Нет описания
CWE ID: 103, Name: Struts: Incomplete validate() Method Definition, Description: Нет описания
CWE ID: 1037, Name: Processor Optimization Removal or Modification of Security-critical Code, Description: Нет описания
CWE ID: 1038, Name: Insecure Automated Optimizations, Description: Нет описания
CWE ID: 1039, Name: Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations, Description: Нет описания
CWE ID: 104, Name: Struts: Form Bean Does Not Extend Validation Class, Description: Нет описания
CWE ID: 1041, Name: Use of Redundant Code, Description: Нет описания
CWE ID: 1042, Name: Static Member Data Element outside of a Singleton Class Element, Description: Нет описания
CWE ID: 1043, Name: Data Element Aggregating an Excessively Large Number of Non-Primitive Elements, Description: Нет описания
CWE ID: 1044, Name: Architecture with Number of Horizontal Layers Outside of Expected Range, Description: Нет описания
CWE ID: 1045, Name: Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor, Description: Нет описания
CWE ID: 1046, Name: Creation of Immutable Text Using String Concatenation, Description: Нет описания
CWE ID: 1047, Name: Modules with Circular Dependencies, Description: Нет описания
CWE ID: 1048, Name: Invokable Control Element with Large Number of Outward Calls, Description: Нет описания
CWE ID: 1049, Name: Excessive Data Query Operations in a Large Data Table, Description: Нет описания
CWE ID: 105, Name: Struts: Form Field Without Validator, Description: Нет описания
CWE ID: 1050, Name: Excessive Platform Resource Consumption within a Loop, Description: Нет описания
CWE ID: 1051, Name: Initialization with Hard-Coded Network Resource Configuration Data, Description: Нет описания
CWE ID: 1052, Name: Excessive Use of Hard-Coded Literals in Initialization, Description: Нет описания
CWE ID: 1053, Name: Missing Documentation for Design, Description: Нет описания
CWE ID: 1054, Name: Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer, Description: Нет описания
CWE ID: 1055, Name: Multiple Inheritance from Concrete Classes, Description: Нет описания
CWE ID: 1056, Name: Invokable Control Element with Variadic Parameters, Description: Нет описания
CWE ID: 1057, Name: Data Access Operations Outside of Expected Data Manager Component, Description: Нет описания
CWE ID: 1058, Name: Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element, Description: Нет описания
CWE ID: 1059, Name: Insufficient Technical Documentation, Description: Нет описания
CWE ID: 106, Name: Struts: Plug-in Framework not in Use, Description: Нет описания
CWE ID: 1060, Name: Excessive Number of Inefficient Server-Side Data Accesses, Description: Нет описания
CWE ID: 1061, Name: Insufficient Encapsulation, Description: Нет описания
CWE ID: 1062, Name: Parent Class with References to Child Class, Description: Нет описания
CWE ID: 1063, Name: Creation of Class Instance within a Static Code Block, Description: Нет описания
CWE ID: 1064, Name: Invokable Control Element with Signature Containing an Excessive Number of Parameters, Description: Нет описания
CWE ID: 1065, Name: Runtime Resource Management Control Element in a Component Built to Run on Application Servers, Description: Нет описания
CWE ID: 1066, Name: Missing Serialization Control Element, Description: Нет описания
CWE ID: 1067, Name: Excessive Execution of Sequential Searches of Data Resource, Description: Нет описания
CWE ID: 1068, Name: Inconsistency Between Implementation and Documented Design, Description: Нет описания
CWE ID: 1069, Name: Empty Exception Block, Description: Нет описания
CWE ID: 107, Name: Struts: Unused Validation Form, Description: Нет описания
CWE ID: 1070, Name: Serializable Data Element Containing non-Serializable Item Elements, Description: Нет описания
CWE ID: 1071, Name: Empty Code Block, Description: Нет описания
CWE ID: 1072, Name: Data Resource Access without Use of Connection Pooling, Description: Нет описания
CWE ID: 1073, Name: Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses, Description: Нет описания
CWE ID: 1074, Name: Class with Excessively Deep Inheritance, Description: Нет описания
CWE ID: 1075, Name: Unconditional Control Flow Transfer outside of Switch Block, Description: Нет описания
CWE ID: 1076, Name: Insufficient Adherence to Expected Conventions, Description: Нет описания
CWE ID: 1077, Name: Floating Point Comparison with Incorrect Operator, Description: Нет описания
CWE ID: 1078, Name: Inappropriate Source Code Style or Formatting, Description: Нет описания
CWE ID: 1079, Name: Parent Class without Virtual Destructor Method, Description: Нет описания
CWE ID: 108, Name: Struts: Unvalidated Action Form, Description: Нет описания
CWE ID: 1080, Name: Source Code File with Excessive Number of Lines of Code, Description: Нет описания
CWE ID: 1082, Name: Class Instance Self Destruction Control Element, Description: Нет описания
CWE ID: 1083, Name: Data Access from Outside Expected Data Manager Component, Description: Нет описания
