cve,description
CVE-2024-53899,"707, 74, 77"
CVE-2024-53901,"118, 119, 664, 787"
CVE-2024-53909,"502, 664, 913"
CVE-2024-53910,"502, 664, 913"
CVE-2024-53911,"502, 664, 913"
CVE-2024-53912,"502, 664, 913"
CVE-2024-53913,"502, 664, 913"
CVE-2024-53914,"502, 664, 913"
CVE-2024-53915,"502, 664, 913"
CVE-2024-11665,"707, 74, 77"
CVE-2024-11666,"345, 693"
CVE-2024-11646,"707, 74, 89, 943"
CVE-2024-53916,
CVE-2024-11647,"707, 74, 89, 943"
CVE-2024-11648,"707, 74, 89, 943"
CVE-2024-11649,"707, 74, 89, 943"
CVE-2024-11650,"404, 664"
CVE-2024-11651,"707, 74"
CVE-2024-11652,"707, 74"
CVE-2024-53930,"707, 74, 79"
CVE-2024-11483,284
CVE-2024-11653,"707, 74"
CVE-2024-11654,"707, 74"
CVE-2020-11311,
CVE-2024-11655,"707, 74"
CVE-2024-11656,"707, 74"
CVE-2024-10709,
CVE-2024-10710,
CVE-2024-11657,"707, 74"
CVE-2024-11658,"707, 74"
CVE-2024-6393,
CVE-2024-7056,
CVE-2024-11659,"707, 74"
CVE-2024-11660,"707, 74, 79"
CVE-2024-6538,"441, 610, 664, 918"
CVE-2024-10270,"1333, 400, 405, 407, 664"
CVE-2024-10451,"1390, 1391, 284, 287, 330, 344, 657, 671, 693, 710, 798"
CVE-2024-10492,"610, 642, 664, 668, 73"
CVE-2024-11661,284
CVE-2024-11662,"20, 707"
CVE-2024-9666,"435, 436, 444"
CVE-2021-23282,"707, 74, 79"
CVE-2022-33861,"345, 693"
CVE-2022-33862,"284, 287"
CVE-2024-11663,"707, 74"
CVE-2024-11664,"22, 664, 668, 706"
CVE-2020-12491,"284, 287, 306"
CVE-2020-12492,"284, 287, 306"
CVE-2024-11403,"118, 119, 125, 664"
CVE-2024-11498,"400, 664"
CVE-2024-27134,"276, 284, 285, 664, 668, 732"
CVE-2024-11670,"284, 285, 863"
CVE-2024-11671,"284, 287"
CVE-2024-11672,"284, 285, 863"
CVE-2023-26280,"266, 269, 284"
CVE-2023-45181,"707, 74, 79"
CVE-2024-45755,"707, 74, 89, 943"
CVE-2024-45756,"707, 74, 89, 943"
CVE-2024-52787,"22, 664, 668, 706"
CVE-2024-7915,"284, 285, 863"
CVE-2024-8272,"284, 285, 862"
CVE-2024-32468,"707, 74, 79"
CVE-2024-51723,"707, 74, 79"
CVE-2024-52529,"703, 755"
CVE-2024-52811,"670, 691"
CVE-2024-53255,"707, 74, 79"
CVE-2024-53599,"707, 74, 79"
CVE-2024-53258,"200, 359, 664, 668"
CVE-2024-53261,"707, 74, 79"
CVE-2024-53262,"707, 74, 79"
CVE-2024-53268,"664, 707, 74, 913, 94"
CVE-2024-50671,
CVE-2024-50672,"707, 74, 89, 943"
CVE-2024-53556,"707, 74, 79"
CVE-2024-53096,
CVE-2024-53097,
CVE-2024-53098,
CVE-2024-53099,
CVE-2024-53100,
CVE-2024-53101,
CVE-2024-53102,
CVE-2024-53554,"664, 707, 74, 913, 94"
CVE-2024-53597,"707, 74, 89, 943"
CVE-2024-11673,"345, 352, 693"
CVE-2024-11674,284
CVE-2024-53843,"707, 74, 79"
CVE-2024-11675,"707, 74, 79"
CVE-2024-11676,"707, 74, 79"
CVE-2024-52899,"664, 707, 74, 913, 94"
CVE-2024-10729,"284, 285"
CVE-2024-11677,"707, 74, 79"
CVE-2024-11678,"707, 74, 79"
CVE-2024-49595,"1390, 284, 287, 294"
CVE-2024-49596,"284, 285, 862"
CVE-2024-49597,"1390, 284, 287, 307, 691, 799"
