id,name,description,rus_description
1,"Фишинг (email, SMS, социальные сети)","Phishing is a method of social engineering where attackers use various communication channels (such as email, SMS, or social media) to obtain sensitive information, such as login credentials, passwords, credit card numbers, and other personal data. Attackers often impersonate trusted senders or organizations to deceive victims.","Фишинг – это метод социальной инженерии, при котором злоумышленники используют различные каналы связи (такие как email, SMS или социальные сети), чтобы получить конфиденциальную информацию, такую как учетные данные, пароли, номера кредитных карт и другие личные данные. Злоумышленники часто выдают себя за доверенные лица или организации, чтобы обмануть жертв."
2,"Атаки с использованием вредоносных программ (вирусы, трояны, шифровальщики)","Malware, including viruses, Trojans, and ransomware, is designed to infiltrate systems and cause harm. Viruses infect files and spread across networks, Trojans provide remote control over devices, and ransomware encrypts data, rendering it inaccessible until a ransom is paid.","Вредоносное ПО, включая вирусы, трояны и программы-вымогатели, предназначено для проникновения в системы и нанесения вреда. Вирусы заражают файлы и распространяются по сетям, трояны предоставляют удаленный доступ к устройствам, а программы-вымогатели шифруют данные, делая их недоступными до уплаты выкупа."
3,"DDoS-атаки (распределённые атаки на отказ в обслуживании)","DDoS attacks aim to overwhelm a system or network with a high volume of requests, causing service disruptions for legitimate users. These attacks are often carried out through a network of compromised devices (botnets).","DDoS-атаки нацелены на перегрузку системы или сети большим количеством запросов, что вызывает перебои в обслуживании для легитимных пользователей. Эти атаки часто выполняются с использованием сети скомпрометированных устройств (ботнетов)."
4,"SQL-инъекции","SQL injection attacks involve inserting malicious SQL code into database queries, enabling attackers to gain unauthorized access to data or perform malicious actions, such as altering or deleting records.","Атаки с использованием SQL-инъекций включают вставку вредоносного SQL-кода в запросы к базе данных, что позволяет злоумышленникам получать несанкционированный доступ к данным или выполнять вредоносные действия, такие как изменение или удаление записей."
5,"XSS (Cross-site Scripting)","XSS is a vulnerability in web applications that allows attackers to inject malicious scripts into web pages. These scripts are executed by users, leading to risks such as session theft, personal data exposure, or misinformation.","XSS – это уязвимость веб-приложений, позволяющая злоумышленникам внедрять вредоносные скрипты в веб-страницы. Эти скрипты выполняются пользователями, что приводит к рискам, таким как кража сеансов, раскрытие личных данных или распространение ложной информации."
6,"Man-in-the-Middle атаки","A Man-in-the-Middle (MITM) attack involves intercepting and manipulating communication between two parties without their knowledge. Attackers can eavesdrop, alter, or forge messages, leading to data breaches or misleading interactions.","Атака типа «человек посередине» (MITM) включает перехват и изменение коммуникаций между двумя сторонами без их ведома. Злоумышленники могут подслушивать, изменять или подделывать сообщения, что приводит к утечке данных или вводящим в заблуждение взаимодействиям."
7,"Атаки с использованием уязвимостей нулевых дней","Zero-day vulnerabilities are flaws in software that are unknown to developers and remain unpatched. Attacks exploiting these vulnerabilities are particularly dangerous as there are no existing defenses available.","Уязвимости нулевого дня – это недостатки программного обеспечения, неизвестные разработчикам и остающиеся неустраненными. Атаки, использующие эти уязвимости, особенно опасны, поскольку для них отсутствуют существующие средства защиты."
8,"Сниффинг (перехват сетевого трафика)","Sniffing involves intercepting data transmitted over a network to obtain sensitive information such as usernames, passwords, and other credentials. Attackers use specialized software or hardware to capture this data.","Сниффинг включает перехват данных, передаваемых по сети, чтобы получить конфиденциальную информацию, такую как имена пользователей, пароли и другие учетные данные. Злоумышленники используют специализированное программное или аппаратное обеспечение для захвата этих данных."
9,"Потери данных (из-за сбоев, удаления или повреждения данных)","Data loss can result from hardware failures, accidental deletion, file corruption, or human error. Without regular backups, such incidents can lead to significant losses for organizations.","Потеря данных может произойти из-за сбоев оборудования, случайного удаления, повреждения файлов или человеческой ошибки. Без регулярного резервного копирования такие инциденты могут привести к значительным потерям для организаций."
10,"Атаки через беспроводные сети (WIFI, Bluetooth)","Wireless network attacks target unprotected Wi-Fi or Bluetooth connections to intercept traffic or exploit vulnerabilities in these protocols. Attackers can gain unauthorized access to networks or connected devices.","Атаки через беспроводные сети нацелены на незащищенные соединения Wi-Fi или Bluetooth для перехвата трафика или использования уязвимостей этих протоколов. Злоумышленники могут получить несанкционированный доступ к сетям или подключенным устройствам."
11,"Кража и утечка данных с мобильных устройств","Mobile devices often store a wide range of sensitive information, including corporate data, personal details, and access credentials. If these devices are lost or stolen, it can result in significant data breaches. Additionally, attackers may exploit vulnerabilities in mobile operating systems or use malicious applications to steal data or gain unauthorized access.","Мобильные устройства часто хранят широкий спектр конфиденциальной информации, включая корпоративные данные, личные данные и учетные данные. Если эти устройства потеряны или украдены, это может привести к серьезным утечкам данных. Кроме того, злоумышленники могут использовать уязвимости в операционных системах мобильных устройств или вредоносные приложения для кражи данных или получения несанкционированного доступа."
12,"Мошенничество с использованием фальшивых сайтов","Fraudsters create counterfeit websites that closely mimic legitimate ones, aiming to deceive users into providing personal and financial information. These fraudulent sites may impersonate online stores, banking platforms, or social media accounts. Users are often lured through phishing emails or ads, making this type of attack particularly dangerous.","Мошенники создают поддельные сайты, которые имитируют легитимные, с целью обманом заставить пользователей предоставить личную и финансовую информацию. Эти мошеннические сайты могут представляться интернет-магазинами, банковскими платформами или аккаунтами в социальных сетях. Пользователей часто привлекают через фишинговые письма или рекламные объявления, что делает этот тип атак особенно опасным."
13,"Использование слабых паролей и их утечка","Weak or easily guessable passwords significantly increase the risk of unauthorized access to systems and accounts. Additionally, leaked password databases from breached organizations or phishing campaigns can allow attackers to compromise multiple accounts, especially if users reuse passwords across services.","Слабые или легко угадываемые пароли значительно увеличивают риск несанкционированного доступа к системам и аккаунтам. Кроме того, утечка баз данных с паролями из скомпрометированных организаций или фишинговых кампаний может позволить злоумышленникам взломать несколько аккаунтов, особенно если пользователи используют один и тот же пароль для разных сервисов."
14,"Неавторизованный доступ к данным","Unauthorized access occurs when attackers, or even employees with excessive or improperly managed privileges, gain access to sensitive data without proper authorization. This can lead to data breaches, misuse, and even manipulation or deletion of critical information, impacting both operations and reputation.","Несанкционированный доступ возникает, когда злоумышленники или даже сотрудники с чрезмерными или неправильно управляемыми привилегиями получают доступ к конфиденциальным данным без надлежащей авторизации. Это может привести к утечке данных, их неправомерному использованию, а также манипуляции или удалению важной информации, что негативно сказывается на операционной деятельности и репутации."
15,"Недостаточная защита доступа к облачным хранилищам","Cloud storage solutions are widely used for their convenience but often contain highly sensitive information. If cloud accounts lack strong authentication, encryption, or proper access controls, attackers can exploit these weaknesses to gain access, exfiltrate data, or delete critical information.","Облачные хранилища широко используются из-за их удобства, но часто содержат высокочувствительную информацию. Если облачные аккаунты не имеют надежной аутентификации, шифрования или должного контроля доступа, злоумышленники могут использовать эти уязвимости для получения доступа, кражи данных или удаления важной информации."
16,"Невозможность восстановления данных после инцидента","When organizations fail to implement robust data backup and recovery mechanisms, incidents such as hardware failures, ransomware attacks, or accidental deletions can result in permanent data loss. This not only disrupts operations but may also lead to financial losses and regulatory non-compliance.","Когда организации не внедряют надежные механизмы резервного копирования и восстановления данных, инциденты, такие как сбои оборудования, атаки программ-вымогателей или случайное удаление, могут привести к необратимой потере данных. Это не только нарушает работу, но и может повлечь финансовые потери и несоответствие нормативным требованиям."
17,"Нарушение конфиденциальности через хищение личных данных","Personal data theft can occur through a variety of vectors, such as phishing schemes, large-scale data breaches, or targeted system compromises. Stolen information is often exploited for identity theft, financial fraud, or other malicious purposes, with long-lasting consequences for both individuals and organizations.","Кража личных данных может происходить через различные векторы, такие как фишинговые схемы, масштабные утечки данных или целенаправленные компрометации систем. Украденная информация часто используется для кражи личности, финансового мошенничества или других злонамеренных целей, с долгосрочными последствиями как для отдельных лиц, так и для организаций."
18,"Уязвимости в сторонних приложениях и сервисах","Third-party applications and services often introduce security risks, especially when they are not regularly updated or thoroughly vetted. Attackers can exploit vulnerabilities in these tools to access sensitive data, inject malicious code, or compromise connected systems, underscoring the need for strict security assessments.","Сторонние приложения и сервисы часто представляют собой риски для безопасности, особенно если они не обновляются регулярно или не проходят тщательную проверку. Злоумышленники могут использовать уязвимости в этих инструментах для доступа к конфиденциальным данным, внедрения вредоносного кода или компрометации связанных систем, что подчеркивает необходимость строгих проверок безопасности."
19,"Инсайдерские угрозы (недобросовестные сотрудники)","Insider threats arise from employees or individuals with legitimate access to systems who intentionally or unintentionally compromise security. These threats can manifest as deliberate data theft, sabotage, or accidental mismanagement, making strict access control and monitoring critical to mitigate risks.","Инсайдерские угрозы возникают от сотрудников или лиц с легитимным доступом к системам, которые намеренно или случайно нарушают безопасность. Эти угрозы могут проявляться в виде умышленной кражи данных, саботажа или случайного неправильного управления, что делает строгий контроль доступа и мониторинг критически важными для снижения рисков."
20,"Отсутствие шифрования данных на устройстве","Unencrypted data on devices is highly vulnerable to theft or unauthorized access, especially if the device is lost, stolen, or compromised. Implementing encryption ensures that sensitive information remains protected even in scenarios where the device itself cannot be recovered or secured.","Незашифрованные данные на устройствах чрезвычайно уязвимы для кражи или несанкционированного доступа, особенно если устройство потеряно, украдено или скомпрометировано. Внедрение шифрования обеспечивает защиту конфиденциальной информации даже в случаях, когда устройство невозможно восстановить или обезопасить."
21,"Необоснованное разглашение конфиденциальной информации","Unauthorized disclosure of sensitive information can occur due to employee mistakes or inadequate security practices. This includes accidentally sending data to the wrong recipients or failing to safeguard information during its processing, leading to potential data breaches or misuse.","Необоснованное разглашение конфиденциальной информации может произойти из-за ошибок сотрудников или недостаточных мер безопасности. Это включает случайную отправку данных не тем получателям или неспособность защитить информацию во время ее обработки, что может привести к утечке данных или их неправомерному использованию."
22,"Мошенничество через социальные сети (Social Engineering)","Fraudsters exploit social media platforms to manipulate individuals into divulging personal information, transferring money, or providing access to resources. This may involve fake accounts, trust manipulation, or deceptive messaging to achieve their goals.","Мошенники используют платформы социальных сетей для манипулирования людьми с целью получения личной информации, перевода денег или предоставления доступа к ресурсам. Это может включать фальшивые аккаунты, манипуляцию доверием или обманные сообщения для достижения своих целей."
23,"Брутфорс-атаки на пароли","Brute force attacks involve systematically trying all possible password combinations until the correct one is found. These attacks target accounts, services, or protocols that rely on weak or predictable passwords, emphasizing the need for strong authentication measures.","Брутфорс-атаки включают систематическое перебирание всех возможных комбинаций паролей, пока не будет найден правильный. Эти атаки нацелены на аккаунты, сервисы или протоколы с слабыми или предсказуемыми паролями, подчеркивая необходимость надежных мер аутентификации."
24,"Нарушение политики безопасности сотрудниками","Employees violating internal security policies—such as using weak passwords, opening malicious email attachments, or sharing information without authorization—can lead to data leaks or other security incidents. Awareness and training are essential to mitigate such risks.","Нарушение сотрудниками внутренних политик безопасности, таких как использование слабых паролей, открытие вредоносных вложений в письмах или несанкционированное раскрытие информации, может привести к утечкам данных или другим инцидентам безопасности. Обучение и повышение осведомленности необходимы для снижения таких рисков."
25,"Ненадлежащая настройка и администрирование серверов","Improper server configurations or poorly managed security settings can create vulnerabilities, allowing attackers to gain unauthorized access or exploit the system. Regular audits and adherence to best practices are critical to prevent such issues.","Ненадлежащая настройка серверов или плохое управление параметрами безопасности могут создать уязвимости, позволяющие злоумышленникам получить несанкционированный доступ или эксплуатировать систему. Регулярные аудиты и соблюдение передовых практик критически важны для предотвращения таких проблем."
26,"Невозможность удаления данных с устаревших устройств","Failing to properly erase data from obsolete or decommissioned devices can result in the exposure of sensitive information. This risk is particularly significant for mobile devices, hard drives, and other storage media that may retain confidential data.","Невозможность надлежащего удаления данных с устаревших или выведенных из эксплуатации устройств может привести к раскрытию конфиденциальной информации. Этот риск особенно актуален для мобильных устройств, жестких дисков и других носителей данных, которые могут сохранять конфиденциальную информацию."
27,"Неконтролируемый доступ через приложения сторонних разработчиков","Third-party applications without proper oversight can provide attackers with unauthorized access to critical data or functions. This highlights the importance of strict access controls and thorough evaluations of external applications before integration.","Приложения сторонних разработчиков без должного контроля могут предоставлять злоумышленникам несанкционированный доступ к критически важным данным или функциям. Это подчеркивает важность строгого контроля доступа и тщательной оценки внешних приложений перед их интеграцией."
28,"Разглашение данных через внешние каналы связи","Using insecure external communication channels, such as unencrypted email or public messaging platforms, to transmit sensitive information increases the risk of data breaches. Secure channels should always be used for such purposes.","Использование небезопасных внешних каналов связи, таких как незашифрованная электронная почта или публичные мессенджеры, для передачи конфиденциальной информации увеличивает риск утечек данных. Для таких целей всегда следует использовать защищенные каналы."
29,"Использование несанкционированного ПО","Using unauthorized or pirated software introduces significant risks, as it may contain malware such as viruses or Trojans. Such software often lacks updates and security support, making systems more vulnerable to attacks.","Использование несанкционированного или пиратского программного обеспечения влечет за собой значительные риски, так как оно может содержать вредоносные программы, такие как вирусы или трояны. Такое ПО часто не получает обновлений и поддержки безопасности, что делает системы более уязвимыми для атак."
30,"Необновляемые системы и программное обеспечение","Failing to update operating systems and applications promptly can leave systems vulnerable to exploitation by attackers. Regular updates and patch management are crucial for defending against emerging threats and maintaining system integrity.","Несвоевременное обновление операционных систем и приложений может сделать системы уязвимыми для атак злоумышленников. Регулярные обновления и управление патчами имеют решающее значение для защиты от новых угроз и поддержания целостности системы."
31,"Отсутствие защиты данных в процессе передачи (незашифрованные каналы)","Transmitting data over unencrypted channels, such as using HTTP instead of HTTPS, poses a significant risk of interception and leakage. Securing data during transmission through encryption protocols is a critical component of information security to prevent unauthorized access.","Передача данных через незашифрованные каналы, такие как использование HTTP вместо HTTPS, представляет значительный риск перехвата и утечки информации. Защита данных во время передачи с помощью протоколов шифрования является важным элементом информационной безопасности для предотвращения несанкционированного доступа."
32,"Утечка данных через физические носители (USB, диски)","Data leaks through physical storage devices like USB drives and external disks can occur due to unauthorized access or theft. The lack of encryption or proper security measures on these devices significantly increases the risk of sensitive information being compromised.","Утечка данных через физические носители, такие как USB-накопители и внешние диски, может произойти из-за несанкционированного доступа или кражи. Отсутствие шифрования или надлежащих мер безопасности на этих устройствах значительно увеличивает риск компрометации конфиденциальной информации."
33,"Неадекватное уничтожение бумажных носителей информации","Improper disposal of paper documents containing sensitive data can lead to information leaks. Secure destruction methods, such as shredding, are essential to ensure that confidential information cannot be reconstructed or misused.","Ненадлежащее уничтожение бумажных документов, содержащих конфиденциальную информацию, может привести к утечкам данных. Для предотвращения реконструкции или неправомерного использования информации необходимо использовать надежные методы уничтожения, такие как шредирование."
34,"Перехват и фальсификация трафика через интернет-платформы","Intercepting and tampering with data transmitted via internet platforms enables attackers to alter or falsify messages. This can result in data breaches, distortion of information, or unauthorized access to sensitive data, emphasizing the need for secure communication protocols.","Перехват и фальсификация данных, передаваемых через интернет-платформы, позволяют злоумышленникам изменять или подделывать сообщения. Это может привести к утечкам данных, искажению информации или несанкционированному доступу к конфиденциальным данным, подчеркивая необходимость использования безопасных протоколов связи."
35,"Сетевые атаки через удалённый доступ (VPN, RDP)","Attacks targeting remote access tools like VPNs and Remote Desktop Protocol (RDP) can allow cybercriminals to infiltrate corporate networks. Exploiting vulnerabilities or weak authentication mechanisms poses a severe threat to sensitive data and overall network integrity.","Атаки, нацеленные на средства удаленного доступа, такие как VPN и протокол удаленного рабочего стола (RDP), могут позволить киберпреступникам проникнуть в корпоративные сети. Использование уязвимостей или слабых механизмов аутентификации представляет серьезную угрозу для конфиденциальных данных и целостности сети."
36,"Злоупотребление правами доступа (privilege escalation)","Privilege escalation occurs when attackers or users exploit system flaws to gain higher access rights than initially granted. This enables unauthorized access to sensitive data or the ability to perform restricted actions, making proper privilege management vital.","Злоупотребление правами доступа происходит, когда злоумышленники или пользователи используют уязвимости системы для получения более высоких прав доступа, чем предоставлено изначально. Это позволяет получить несанкционированный доступ к конфиденциальным данным или выполнять ограниченные действия, подчеркивая важность надлежащего управления правами доступа."
37,"Недостаточная защита административных и суперпользовательских учетных записей","Administrative and superuser accounts hold critical access privileges, and their improper protection—such as weak passwords or lack of multi-factor authentication—can result in system-wide compromise and extensive damage if breached.","Административные учетные записи и учетные записи суперпользователей имеют критически важные привилегии доступа, и их недостаточная защита, например, использование слабых паролей или отсутствие многофакторной аутентификации, может привести к компрометации всей системы и значительному ущербу."
38,"Использование старых версий ПО и протоколов","Relying on outdated software versions and communication protocols increases system vulnerability, as they may no longer receive security updates or patches for known flaws. Maintaining up-to-date software is crucial to defend against emerging threats and exploits.","Использование устаревших версий программного обеспечения и протоколов связи увеличивает уязвимость системы, так как они могут больше не получать обновления безопасности или исправления известных уязвимостей. Поддержание программного обеспечения в актуальном состоянии крайне важно для защиты от новых угроз и эксплойтов."
39,"Ошибки в управлении доступом к ресурсам","Access control errors, such as misconfigured permissions or lack of regular reviews, can allow unauthorized users to access sensitive data or resources. This underscores the importance of implementing a robust access control framework and periodic audits.","Ошибки в управлении доступом, такие как некорректная настройка прав или отсутствие регулярных проверок, могут позволить несанкционированным пользователям получить доступ к конфиденциальным данным или ресурсам. Это подчеркивает важность внедрения надежной системы управления доступом и периодических аудитов."
40,"Проблемы с защитой и мониторингом облачных сервисов","Cloud services require robust security measures and continuous monitoring to ensure data safety. Insufficient protection or lack of monitoring for user activities in the cloud can lead to data breaches, unauthorized access, or attacks targeting cloud resources.","Облачные сервисы требуют надежных мер безопасности и постоянного мониторинга для обеспечения сохранности данных. Недостаточная защита или отсутствие мониторинга пользовательской активности в облаке могут привести к утечкам данных, несанкционированному доступу или атакам, нацеленным на облачные ресурсы."
41,"Отсутствие многофакторной аутентификации","The lack of Multi-Factor Authentication (MFA) increases system vulnerability by relying solely on single-factor authentication, such as passwords. Without MFA, systems are more susceptible to phishing attacks, credential stuffing, and brute force attacks, which can lead to unauthorized access and data breaches.","Отсутствие многофакторной аутентификации (MFA) увеличивает уязвимость системы, полагаясь исключительно на однофакторную аутентификацию, такую как пароли. Без MFA системы становятся более восприимчивыми к атакам фишинга, компрометации учетных данных и атакам методом перебора, что может привести к несанкционированному доступу и утечкам данных."
42,"Злоупотребление системами аутентификации пользователей","Abuse of authentication systems involves using stolen or compromised credentials to gain unauthorized access to protected systems. This can result in data breaches, identity theft, and the loss of sensitive information, emphasizing the need for robust authentication protocols.","Злоупотребление системами аутентификации пользователей включает использование украденных или скомпрометированных учетных данных для получения несанкционированного доступа к защищенным системам. Это может привести к утечкам данных, краже личных данных и потере конфиденциальной информации, подчеркивая необходимость надежных протоколов аутентификации."
43,"Использование уязвимых библиотек и фреймворков","Exploiting vulnerabilities in third-party libraries and frameworks used in applications allows attackers to execute a range of attacks, such as SQL injections or bypassing security mechanisms. Regular updates and security audits are essential to mitigate these risks.","Использование уязвимостей в сторонних библиотеках и фреймворках, используемых в приложениях, позволяет злоумышленникам выполнять ряд атак, таких как SQL-инъекции или обход механизмов безопасности. Регулярные обновления и аудиты безопасности необходимы для снижения этих рисков."
44,"Неадекватное ведение журналов и логов безопасности","Failing to maintain comprehensive and accurate security logs hampers the investigation of incidents, detection of anomalous activities, and tracking of malicious actions. Inadequate logging also complicates the process of identifying the scope and source of a security breach.","Недостаточное ведение комплексных и точных журналов безопасности затрудняет расследование инцидентов, обнаружение аномальных действий и отслеживание злонамеренных действий. Неадекватное ведение журналов также усложняет процесс определения объема и источника утечки безопасности."
45,"Отсутствие тестирования безопасности программного обеспечения","Lack of regular security testing, such as penetration tests or vulnerability assessments, leaves applications exposed to undetected vulnerabilities. Unidentified weaknesses can be exploited by attackers to compromise the system and steal sensitive information.","Отсутствие регулярного тестирования безопасности, такого как тесты на проникновение или оценка уязвимостей, оставляет приложения подверженными невыявленным уязвимостям. Неопознанные слабости могут быть использованы злоумышленниками для компрометации системы и кражи конфиденциальной информации."
46,"Неэффективное удаление или очистка логов","Ineffective deletion or clearing of security logs can expose sensitive information or allow attackers to obscure evidence of their activities. Proper log management and secure deletion practices are crucial for maintaining the integrity of security systems.","Неэффективное удаление или очистка журналов безопасности могут привести к утечке конфиденциальной информации или позволить злоумышленникам скрыть доказательства своей деятельности. Надлежащее управление журналами и практика безопасного удаления имеют решающее значение для поддержания целостности систем безопасности."
47,"Утечка информации через несовершенные веб-сервисы","Inadequate or poorly configured web services can lead to data leaks, as vulnerabilities or weak security measures may allow attackers to access sensitive information. Regular security assessments and updates are vital to prevent exploitation of such flaws.","Неадекватные или неправильно настроенные веб-сервисы могут привести к утечке данных, поскольку уязвимости или слабые меры безопасности могут позволить злоумышленникам получить доступ к конфиденциальной информации. Регулярные оценки безопасности и обновления жизненно важны для предотвращения эксплуатации таких недостатков."
48,"Вредоносные обновления ПО (включая драйверы и ОС)","Malicious updates, including software and driver updates containing harmful components such as viruses or backdoors, can compromise systems. Attackers use these updates to implant malware or gain unauthorized access, emphasizing the need for trusted update sources.","Вредоносные обновления, включая обновления программного обеспечения и драйверов, содержащие вредоносные компоненты, такие как вирусы или бекдоры, могут привести к компрометации систем. Злоумышленники используют эти обновления для установки вредоносного ПО или получения несанкционированного доступа, подчеркивая необходимость надежных источников обновлений."
49,"Проблемы с настройкой межсетевых экранов","Improper firewall configuration may leave certain ports or protocols exposed, creating opportunities for attackers to exploit the network or system. Regular reviews and adherence to best practices are necessary to ensure effective firewall security.","Неправильная настройка межсетевых экранов может оставить определенные порты или протоколы открытыми, создавая возможности для злоумышленников использовать сеть или систему. Регулярные проверки и соблюдение передовых методов необходимы для обеспечения эффективной безопасности межсетевого экрана."
50,"Отсутствие политики защиты от утечек данных (DLP)","The absence of a Data Loss Prevention (DLP) policy increases the risk of sensitive information being leaked. Without effective controls to monitor and manage data transfers, organizations are exposed to unauthorized disclosure, emphasizing the need for DLP solutions.","Отсутствие политики предотвращения утечек данных (DLP) увеличивает риск утечки конфиденциальной информации. Без эффективных средств контроля за мониторингом и управлением передачами данных организации подвержены несанкционированному раскрытию, подчеркивая необходимость в решениях DLP."
51,"Ненадёжная защита данных при взаимодействии с внешними подрядчиками","Inadequate data protection when working with external contractors can result in data breaches or unauthorized access, especially if contractors fail to implement proper security measures. Such risks underscore the importance of stringent security agreements and monitoring practices.","Недостаточная защита данных при работе с внешними подрядчиками может привести к утечкам данных или несанкционированному доступу, особенно если подрядчики не внедряют надлежащие меры безопасности. Эти риски подчеркивают важность строгих соглашений о безопасности и практик мониторинга."
52,"Необоснованный доступ подрядчиков к критичным системам","Excessive or unwarranted access to critical systems by contractors can lead to data breaches or intentional attacks, especially if their activities are not adequately monitored. Implementing strict access controls and auditing is essential to mitigate these risks.","Чрезмерный или необоснованный доступ подрядчиков к критическим системам может привести к утечкам данных или преднамеренным атакам, особенно если их деятельность не контролируется должным образом. Внедрение строгих средств контроля доступа и аудита необходимо для снижения этих рисков."
53,"Использование несоответствующих стандартам систем и решений","Utilizing systems and solutions that fail to meet established security standards can introduce vulnerabilities, making them prone to attacks such as unauthorized access or data leaks. Adopting certified solutions and adhering to best practices minimizes these risks.","Использование систем и решений, которые не соответствуют установленным стандартам безопасности, может создать уязвимости, делая их подверженными атакам, таким как несанкционированный доступ или утечка данных. Применение сертифицированных решений и соблюдение передовых практик минимизирует эти риски."
54,"Проблемы с контролем доступа к API","Poorly configured or inadequately secured APIs pose a risk to system integrity, allowing attackers to access sensitive information or perform unauthorized actions. Implementing robust authentication, rate limiting, and monitoring is essential to secure APIs.","Плохо настроенные или недостаточно защищенные API представляют угрозу целостности системы, позволяя злоумышленникам получать доступ к конфиденциальной информации или выполнять несанкционированные действия. Внедрение надежной аутентификации, ограничения частоты и мониторинга необходимо для защиты API."
55,"Подделка или манипуляция данными на сервере","Manipulation of server data by attackers involves falsifying, altering, or deleting records to achieve malicious objectives. This can disrupt operations and mislead users, highlighting the need for data integrity checks and robust server security measures.","Манипуляция данными сервера злоумышленниками включает фальсификацию, изменение или удаление записей для достижения злонамеренных целей. Это может нарушить работу и ввести пользователей в заблуждение, подчеркивая необходимость проверок целостности данных и надежных мер безопасности сервера."
56,"Отсутствие или слабая защита в виртуализированных средах","Virtualized environments, such as virtual machines, can become targets for attacks if not adequately secured. Exploiting vulnerabilities in these environments can allow attackers to compromise data or systems. Strong isolation and monitoring are crucial for protection.","Виртуализированные среды, такие как виртуальные машины, могут стать целями для атак, если они недостаточно защищены. Использование уязвимостей в этих средах может позволить злоумышленникам скомпрометировать данные или системы. Сильная изоляция и мониторинг имеют решающее значение для защиты."
57,"Утечка данных через ошибочно настроенные сетевые устройства","Improper configuration of network devices, such as routers or switches, can expose sensitive data or allow unauthorized access to internal networks. Regular configuration reviews and adherence to security protocols are necessary to prevent such leaks.","Неправильная настройка сетевых устройств, таких как маршрутизаторы или коммутаторы, может привести к утечке конфиденциальных данных или несанкционированному доступу к внутренним сетям. Регулярные проверки конфигурации и соблюдение протоколов безопасности необходимы для предотвращения таких утечек."
58,"Неадекватное шифрование конфиденциальных данных","Inadequate encryption of sensitive data or the lack of encryption altogether increases the risk of exposure to attackers during data breaches or interceptions. Employing strong encryption standards ensures data confidentiality and security.","Неадекватное шифрование конфиденциальных данных или его отсутствие увеличивает риск их раскрытия для злоумышленников во время утечек данных или перехватов. Использование надежных стандартов шифрования обеспечивает конфиденциальность и безопасность данных."
59,"Нарушение целостности данных через ошибочные системы резервного копирования","Errors in backup systems can lead to data corruption or failure to restore complete copies, making information vulnerable to loss. Implementing rigorous testing and validation of backup processes helps maintain data integrity and availability.","Ошибки в системах резервного копирования могут привести к повреждению данных или невозможности восстановить полные копии, делая информацию уязвимой для потерь. Внедрение строгого тестирования и проверки процессов резервного копирования помогает поддерживать целостность и доступность данных."
60,"Отсутствие защиты на уровне BIOS/UEFI","Devices lacking BIOS or UEFI-level protection are vulnerable to pre-boot attacks, such as those targeting the bootloader or implanting malicious code before the operating system loads. Secure boot mechanisms and firmware updates are critical for safeguarding systems.","Устройства, не имеющие защиты на уровне BIOS или UEFI, уязвимы для атак до загрузки, таких как атаки на загрузчик или внедрение вредоносного кода до загрузки операционной системы. Механизмы безопасной загрузки и обновления прошивки имеют решающее значение для защиты систем."
61,"Проблемы с физическим доступом в серверные комнаты","Poor physical security of server rooms can lead to unauthorized access to equipment, allowing attackers to manipulate systems, copy data, or even destroy devices. Ensuring robust physical security measures, such as biometric access controls, surveillance cameras, and security personnel, is essential to mitigate these risks.","Плохая физическая безопасность серверных комнат может привести к несанкционированному доступу к оборудованию, позволяя злоумышленникам манипулировать системами, копировать данные или даже уничтожать устройства. Обеспечение надежных мер физической безопасности, таких как биометрический контроль доступа, камеры видеонаблюдения и охрана, имеет важное значение для снижения этих рисков."
