id,name,lickvidacia
1,"Фишинг (email, SMS, социальные сети)","Оценить объем ущерба, провести восстановление поврежденных систем, изменить пароли и обновить политики безопасности. Провести обучающие мероприятия для сотрудников, чтобы избежать повторения инцидента."
2,"Атаки с использованием вредоносных программ (вирусы, трояны, шифровальщики)","Удалить все зараженные файлы, восстановить данные из резервных копий, если необходимо. Произвести полное сканирование системы, обновить антивирусное ПО и улучшить защиту от вредоносных программ."
3,"DDoS-атаки (распределённые атаки на отказ в обслуживании)","Применить фильтрацию трафика, использовать систему защиты от DDoS-атак и реплицировать ресурсы на резервные каналы. Оценить нагрузку на серверы и при необходимости их масштабировать."
4,"SQL-инъекции","Произвести анализ кода и внедрить защиту от SQL-инъекций, обновить базу данных и обеспечить её корректную настройку. Исправить уязвимости и провести повторное тестирование на безопасность."
5,"XSS (Cross-site Scripting)","Исправить уязвимости в коде, внедрить защиту от XSS-атак, использовать механизмы фильтрации ввода данных и экранирования выводимых данных. Провести проверку на безопасность всех пользовательских интерфейсов."
6,"Man-in-the-Middle атаки","Произвести анализ и установку обновлений для защиты коммуникаций (например, использование SSL/TLS). Обновить политику шифрования и проверить каналы передачи данных на наличие уязвимостей."
7,"Атаки с использованием уязвимостей нулевых дней","Установить обновления и патчи для системы. Применить усиленную защиту, используя средства предотвращения вторжений (IPS), и провести анализ на предмет других потенциальных уязвимостей."
8,"Сниффинг (перехват сетевого трафика)","Использовать зашифрованные каналы для передачи данных (например, VPN, HTTPS). Провести аудит системы безопасности и обновить настройки защиты сетевого трафика."
9,"Потери данных (из-за сбоев, удаления или повреждения данных)","Восстановить данные из резервных копий, если возможно. Оценить уровень потерь и минимизировать ущерб. Внедрить регулярное резервное копирование и тестирование восстановления данных."
10,"Атаки через беспроводные сети (WIFI, Bluetooth)","Провести аудит настроек беспроводных сетей, обеспечить использование надежных паролей и шифрования. Установить ограничения на использование небезопасных протоколов и уязвимых устройств."
11,"Кража и утечка данных с мобильных устройств","Заблокировать доступ к данным на украденном устройстве, при необходимости — стереть данные удаленно. Обновить политику безопасности для мобильных устройств и внедрить систему управления мобильными устройствами (MDM)."
12,"Мошенничество с использованием фальшивых сайтов","Удалить фальшивые сайты, уведомить соответствующие органы и пользователей. Обновить механизмы защиты от фишинга и атак через социальные сети, усилить верификацию источников сайтов."
13,"Использование слабых паролей и их утечка","Обновить пароли для всех затронутых аккаунтов, обеспечить их безопасность с помощью генераторов случайных паролей. Внедрить политику обязательной смены паролей и двухфакторной аутентификации."
14,"Неавторизованный доступ к данным","Провести аудит доступа к данным и определить источник утечки. Изменить права доступа, провести расследование и внедрить дополнительные механизмы контроля за доступом."
15,"Недостаточная защита доступа к облачным хранилищам","Обновить настройки безопасности облачного хранилища, использовать шифрование данных и двухфакторную аутентификацию. Применить мониторинг доступа к облачным данным."
16,"Невозможность восстановления данных после инцидента","Обновить процесс восстановления данных и провести тестирование резервных копий. Внедрить эффективные процедуры для быстрой ликвидации последствий потери данных."
17,"Нарушение конфиденциальности через хищение личных данных","Оценить ущерб, уведомить пострадавших пользователей и соответствующие органы. Принять меры для усиленной защиты личных данных и обновить политику конфиденциальности."
18,"Уязвимости в сторонних приложениях и сервисах","Обновить сторонние приложения и сервисы, закрыть уязвимости. Провести оценку рисков и установить дополнительные механизмы защиты."
19,"Инсайдерские угрозы (недобросовестные сотрудники)","Провести расследование инцидента, сменить пароли и ограничить доступ для затронутых сотрудников. Провести аудиты действий сотрудников и внедрить системы мониторинга."
20,"Отсутствие шифрования данных на устройстве","Применить шифрование данных на устройствах, с которых произошел инцидент. Обновить политику безопасности для защиты данных и усилить требования к шифрованию на всех устройствах."
21,"Необоснованное разглашение конфиденциальной информации","Провести расследование инцидента и принять меры для защиты конфиденциальной информации. Внедрить политику ограничения доступа к конфиденциальной информации."
22,"Мошенничество через социальные сети (Social Engineering)","Провести расследование инцидента, при необходимости блокировать фальшивые профили и сообщить об инциденте. Обучить сотрудников методам распознавания атак социальной инженерии."
23,"Брутфорс-атаки на пароли","Использовать систему защиты от брутфорс-атак, например, блокировка аккаунтов после нескольких неудачных попыток входа. Применить более сложные и безопасные пароли, а также двухфакторную аутентификацию."
24,"Нарушение политики безопасности сотрудниками","Провести расследование инцидента, оценить ущерб и укрепить политику безопасности. Провести обучение сотрудников и внедрить новые меры контроля за соблюдением политик безопасности."
25,"Ненадлежащая настройка и администрирование серверов","Провести аудит настроек серверов, устранить ошибки в конфигурации. Внедрить процессы проверки настроек безопасности и регулярные обновления серверных компонентов."
26,"Невозможность удаления данных с устаревших устройств","Разработать и внедрить процедуры удаления данных с устаревших или неисправных устройств. Использовать безопасные методы уничтожения данных и провести повторную очистку."
27,"Неконтролируемый доступ через приложения сторонних разработчиков","Провести аудит доступа приложений сторонних разработчиков, обновить их безопасность и минимизировать доступ. Внедрить строгие проверки на безопасность всех сторонних приложений."
28,"Разглашение данных через внешние каналы связи","Провести расследование инцидента и выяснить источники утечки. Применить шифрование для всех данных, передаваемых через внешние каналы связи, и внедрить мониторинг безопасности."
29,"Использование несанкционированного ПО","Удалить несанкционированное ПО с всех устройств и внедрить систему контроля за установкой программ. Уведомить сотрудников о запрете на использование нелегального ПО."
30,"Необновляемые системы и программное обеспечение","Произвести обновление всех устаревших систем и программного обеспечения. Внедрить регулярные проверки и автоматические обновления для предотвращения использования уязвимых версий."
31,"Отсутствие защиты данных в процессе передачи (незашифрованные каналы)","Внедрить системы защиты для всех каналов передачи данных, используя шифрование (например, TLS/SSL). Проверить все коммуникации и исправить все уязвимости, связанные с безопасностью передачи данных."
32,"Утечка данных через физические носители (USB, диски)","Произвести аудит использования физических носителей и обеспечить их защиту с помощью шифрования. Установить политики по использованию и хранению таких устройств."
33,"Неадекватное уничтожение бумажных носителей информации","Внедрить строгие процедуры уничтожения бумажных носителей, включая shredding. Провести обучение сотрудников по безопасному уничтожению конфиденциальной информации."
