id,name,reagirovanie
1,"Фишинг (email, SMS, социальные сети)","Необходимо немедленно заблокировать все подозрительные электронные письма, SMS-сообщения или социальные сети. Оповестить всех пользователей о возможных атаках. Выполнить анализ адресов отправителей и ссылок, чтобы исключить фишинговые страницы. При необходимости — восстановить доступ к системам через безопасную аутентификацию."
2,"Атаки с использованием вредоносных программ (вирусы, трояны, шифровальщики)","Провести сканирование всех систем с использованием антивирусных и антишпионских программ. Заблокировать вредоносные процессы и восстановить поврежденные данные из резервных копий. Изолировать зараженные устройства и обновить антивирусные базы данных."
3,"DDoS-атаки (распределённые атаки на отказ в обслуживании)","Активировать защиту от DDoS-атак на уровне сетевого периметра (например, с помощью CDN или специализированных сервисов). Использовать механизмы фильтрации трафика и ограничить запросы с подозрительных IP-адресов. Скоординировать действия с провайдером для смягчения атаки."
4,"SQL-инъекции","Проверить все веб-приложения на наличие уязвимостей SQL-инъекций. Применить фильтрацию входных данных и использовать подготовленные SQL-запросы. Применить WAF (Web Application Firewall) для защиты от атак. Проверить журналы и провести анализ безопасности всех баз данных."
5,"XSS (Cross-site Scripting)","Проверить все веб-приложения на наличие уязвимостей XSS. Использовать фильтрацию и экранирование пользовательских данных, чтобы предотвратить выполнение вредоносных скриптов. Проводить регулярное тестирование на уязвимости с помощью средств безопасности."
6,"Man-in-the-Middle атаки","Обеспечить использование защищенных каналов связи (например, HTTPS, TLS). Прекратить использование уязвимых сетевых протоколов, таких как HTTP и FTP. Проверить настройки шифрования на всех уровнях передачи данных и обновить сертификаты безопасности."
7,"Атаки с использованием уязвимостей нулевых дней","Провести немедленное обновление всех систем и приложений до последних версий. Оповестить всех пользователей о возможных уязвимостях и предложить им установить актуальные патчи. Мониторить системы на предмет необычной активности и атак."
8,"Сниффинг (перехват сетевого трафика)","Проверить и укрепить настройки безопасности сетевого оборудования. Применить шифрование для всех данных, передаваемых через незащищенные сети. Прекратить использование незашифрованных протоколов для передачи данных."
9,"Потери данных (из-за сбоев, удаления или повреждения данных)","Активировать процедуры восстановления данных из резервных копий. Определить причину потери данных и провести анализ инцидента. Внедрить дополнительные механизмы защиты и регулярного бэкапа данных."
10,"Атаки через беспроводные сети (WIFI, Bluetooth)","Отключить уязвимые беспроводные сети и изменить пароли для сетевых устройств. Применить шифрование WPA2 для Wi-Fi и использовать Bluetooth с минимальными настройками безопасности. Провести аудит всех беспроводных устройств и их настроек."
11,"Кража и утечка данных с мобильных устройств","Активировать удаленное уничтожение данных на утерянных устройствах. Применить обязательное шифрование для всех мобильных устройств в компании. Информировать сотрудников о необходимости установки средств защиты и мониторинга на мобильных устройствах."
12,"Мошенничество с использованием фальшивых сайтов","Проверить все подозрительные сайты, проверить наличие SSL-сертификатов и адресов. Оповестить пользователей о возможном мошенничестве. Заблокировать фальшивые сайты на уровне DNS и провести аудит всех сетевых подключений."
13,"Использование слабых паролей и их утечка","Обновить все пароли на более сложные и уникальные. Включить многофакторную аутентификацию для всех пользователей. Провести аудит безопасности паролей на всех учетных записях и ограничить доступ к критическим системам."
14,"Неавторизованный доступ к данным","Немедленно заблокировать все несанкционированные доступы и провести расследование. Применить дополнительные средства контроля доступа, включая биометрические данные и одноразовые пароли. Пересмотреть права доступа сотрудников."
15,"Недостаточная защита доступа к облачным хранилищам","Обновить настройки безопасности облачных хранилищ, активировать шифрование и двухфакторную аутентификацию. Провести аудит всех доступов и исправить недостатки в защите облачных сервисов."
16,"Невозможность восстановления данных после инцидента","Проверить доступность резервных копий данных и процедуры восстановления. Внедрить дополнительные механизмы мониторинга состояния бэкап-систем. Обновить политику бэкапирования и обеспечить регулярное тестирование восстановления данных."
17,"Нарушение конфиденциальности через хищение личных данных","Проанализировать инцидент, определить источник утечки и усилить защиту персональных данных. Применить мониторинг на всех системах с личной информацией. Обеспечить обучение сотрудников безопасному обращению с личными данными."
18,"Уязвимости в сторонних приложениях и сервисах","Провести аудит всех сторонних приложений на наличие уязвимостей. Применить патчи и обновления, рекомендованные производителями программного обеспечения. Проводить регулярные проверки безопасности всех сторонних сервисов."
19,"Инсайдерские угрозы (недобросовестные сотрудники)","Ограничить доступ подозрительных сотрудников, проверить журналы активности. Внедрить системы мониторинга и аудита на рабочих местах. Применить политику безопасности с регулярными обучениями и санкциями за нарушения."
20,"Отсутствие шифрования данных на устройстве","Включить шифрование на всех устройствах сотрудников. Проводить регулярные проверки на наличие устройств, не защищенных шифрованием. Внедрить политики для обязательного шифрования данных на всех устройствах."
21,"Необоснованное разглашение конфиденциальной информации","Провести расследование инцидента и выяснить источники утечек. Внедрить ограничения на разглашение данных и регулярные тренинги для сотрудников. Обновить политику конфиденциальности и защиту информации."
22,"Мошенничество через социальные сети (Social Engineering)","Провести анализ инцидента, идентифицировать манипуляции и оповестить пользователей. Внедрить механизмы проверки подлинности сообщений через социальные сети. Обучить сотрудников способам распознавания социальной инженерии."
23,"Брутфорс-атаки на пароли","Активировать защиту от атак методом подбора паролей, например, с помощью ограничений по количеству попыток. Обновить пароли и включить многофакторную аутентификацию. Провести анализ логов и удостовериться в отсутствии других атак."
24,"Нарушение политики безопасности сотрудниками","Провести расследование инцидента, выявить виновных и применить дисциплинарные меры. Обновить политики безопасности и провести тренинги для сотрудников. Внедрить более строгие процедуры контроля доступа и мониторинга."
25,"Ненадлежащая настройка и администрирование серверов","Произвести немедленную проверку настроек серверов и устранить все уязвимости. Обновить конфигурации безопасности и провести аудит всех серверов на наличие уязвимостей. Обучить администраторов принципам безопасной настройки серверов."
26,"Невозможность удаления данных с устаревших устройств","Применить программы для безопасного удаления данных с устаревших устройств. Разработать политику замены оборудования с обязательным удалением всех данных. Убедиться в надежном уничтожении данных перед списанием устройства."
27,"Неконтролируемый доступ через приложения сторонних разработчиков","Провести аудит всех приложений, используемых сотрудниками, и ограничить доступ к критическим данным. Отключить сторонние приложения, не соответствующие требованиям безопасности. Внедрить политику контроля сторонних приложений."
28,"Разглашение данных через внешние каналы связи","Оповестить всех заинтересованных сторон об инциденте. Применить шифрование для всех внешних каналов связи, включая электронную почту и FTP-серверы. Пересмотреть процедуры обмена данными с внешними партнерами."
29,"Использование несанкционированного ПО","Блокировать все несанкционированные программы и приложения на устройствах. Провести проверку систем на наличие несанкционированного ПО и удалить все его экземпляры. Внедрить политику использования только лицензированного ПО."
30,"Необновляемые системы и программное обеспечение","Обновить все системы и программы до последних версий. Внедрить регулярные процессы для автоматического обновления программного обеспечения. Убедиться, что все критические уязвимости были закрыты."
31,"Отсутствие защиты данных в процессе передачи (незашифрованные каналы)","Перевести все каналы связи на защищенные протоколы (например, HTTPS, TLS). Применить дополнительные меры защиты при передаче конфиденциальной информации, включая шифрование на всех уровнях."
32,"Утечка данных через физические носители (USB, диски)","Применить шифрование для всех физических носителей данных. Внедрить политику контроля за использованием USB-устройств и других съемных носителей. Проводить регулярные проверки и тесты на утечку данных."
33,"Неадекватное уничтожение бумажных носителей информации","Установить обязательную процедуру уничтожения бумажных носителей с конфиденциальной информацией (например, с использованием шредеров). Проводить регулярные тренинги для сотрудников по безопасному обращению с бумагой."
34,"Перехват и фальсификация трафика через интернет-платформы","Активировать системы мониторинга трафика и обнаружения вторжений. Применить защиту на уровне приложений и серверов, используя HTTPS и шифрование. Обновить все сертификаты безопасности и пересмотреть настройки прокси-серверов и маршрутизаторов."
35,"Сетевые атаки через удалённый доступ (VPN, RDP)","Провести немедленную проверку всех удалённых подключений. Убедиться в наличии многофакторной аутентификации для VPN и RDP. Отключить неавторизованные подключения и обновить все пароли для администраторов."
